OBJECTID,GEOID,STATE,COUNTY,TRACT,NAME,CNTY_FIPS,EACODE,EANAME,B25002EST1,B25002EST2,B25002EST2_PCT,B25002EST3,B25002EST3_PCT,B25009EST2,B25009EST2_PCT,B25009EST3,B25009EST3_PCT,B25009EST4,B25009EST4_PCT,B25009EST5,B25009EST5_PCT,B25009EST6,B25009EST6_PCT,B25009EST7,B25009EST7_PCT,B25009_OWNOCC_6PLUS,B25009_OWN_6PLUS_PCT,B25009EST10,B25009EST10_PCT,B25009EST11,B25009EST11_PCT,B25009EST12,B25009EST12_PCT,B25009EST13,B25009EST13_PCT,B25009EST14,B25009EST14_PCT,B25009EST15,B25009EST15_PCT,B25009_RENTOCC_6PLUS,B25009_RENT_6PLUS_PCT,B25009_TOT_1,B25009_TOT_1_PCT,B25009_TOT_2,B25009_TOT_2_PCT,B25009_TOT_3,B25009_TOT_3_PCT,B25009_TOT_4,B25009_TOT_4_PCT,B25009_TOT_5,B25009_TOT_5_PCT,B25009_TOT_6PLUS,B25009_TOT_6PLUS_PCT,B25037EST3,B25041EST2,B25041EST2_PCT,B25041EST3,B25041EST3_PCT,B25041EST4,B25041EST4_PCT,B25041_3PLUS_BDR,B25041_3PLUS_BDR_PCT,B25021EST1,B25021EST2,B25021EST3,B25024EST2,B25024EST2_PCT,B25024EST3,B25024EST3_PCT,B25024_2TO4,B25024_2TO4_PCT,B25024_5TO19,B25024_5TO19_PCT,B25024_20PLUS,B25024_20PLUS_PCT,B25024_OTHER,B25024_OTHER_PCT,B25032EST2,B25032EST3,B25032EST3_PCT,B25032EST4,B25032EST4_PCT,B25032_OWN_2TO4,B25032_OWN_2TO4_PCT,B25032_OWN_5TO19,B25032_OWN_5TO19_PCT,B25032_OWN_20PLUS,B25032_OWN_20PLUS_PCT,B25032_OWN_OTHER,B25032_OWN_OTHER_PCT,B25032EST13,B25032EST14,B25032EST14_PCT,B25032EST15,B25032EST15_PCT,B25032_RENT_2TO4,B25032_RENT_2TO4_PCT,B25032_RENT_5TO19,B25032_RENT_5TO19_PCT,B25032_RENT_20PLUS,B25032_RENT_20PLUS_PCT,B25032_RENT_OTHER,B25032_RENT_OTHER_PCT,B25036_OWN_2KPLUS,B25036_OWN_2KPLUS_PCT,B25036_OWN_80TO99,B25036_OWN_80TO99_PCT,B25036_OWN_50TO79,B25036_OWN_50TO79_PCT,B25036_OWN_49MINUS,B25036_OWN_49MINUS_PCT,B25036_RENT_2KPLUS,B25036_RENT_2KPLUS_PCT,B25036_RENT_80TO99,B25036_RENT_80TO99_PCT,B25036_RENT_50TO79,B25036_RENT_50TO79_PCT,B25036_RENT_49MINUS,B25036_RENT_49MINUS_PCT,B25036_RENT_80MINUS,B25036_RENT_80MINUS_PCT,B25036_TOT_2KPLUS,B25036_TOT_2KPLUS_PCT,B25036_TOT_80TO99,B25036_TOT_80TO99_PCT,B25036_TOT_50TO79,B25036_TOT_50TO79_PCT,B25036_TOT_49MINUS,B25036_TOT_49MINUS_PCT,B25068EST2,B25068EST2_PCT,B25068EST4,B25068EST4_PCT,B25068_0BDR_200TO499,B25068_0BDR_200TO499_PCT,B25068_0BDR_500TO999,B25068_0BDR_500TO999_PCT,B25068EST9,B25068EST9_PCT,B25068EST10,B25068EST10_PCT,B25068EST11,B25068EST11_PCT,B25068EST13,B25068EST13_PCT,B25068_1BDR_200TO499,B25068_1BDR_200TO499_PCT,B25068_1BDR_500TO999,B25068_1BDR_500TO999_PCT,B25068EST18,B25068EST18_PCT,B25068EST19,B25068EST19_PCT,B25068EST20,B25068EST20_PCT,B25068EST22,B25068EST22_PCT,B25068_2BDR_200TO499,B25068_2BDR_200TO499_PCT,B25068_2BDR_500TO999,B25068_2BDR_500TO999_PCT,B25068EST27,B25068EST27_PCT,B25068EST28,B25068EST28_PCT,B25068EST29,B25068EST29_PCT,B25068EST31,B25068EST31_PCT,B25068_3PLUSBDR_200TO499,B25068_3PLUSBDR_200TO499_PCT,B25068_3PLUSBDR_500TO999,B25068_3PLUSBDR_500TO999_PCT,B25068EST36,B25068EST36_PCT,B25068EST37,B25068EST37_PCT,B25056_500MINUS,B25056_500MINUS_PCT,B25056_500TO599,B25056_500TO599_PCT,B25056_600TO699,B25056_600TO699_PCT,B25056_700TO799,B25056_700TO799_PCT,B25056EST18,B25056EST18_PCT,B25056EST19,B25056EST19_PCT,B25056EST20,B25056EST20_PCT,B25056EST21,B25056EST21_PCT,B25056EST22,B25056EST22_PCT,B25056EST23,B25056EST23_PCT,B25056EST24,B25056EST24_PCT,B25058EST1,B25042EST3,B25042EST3_PCT,B25042EST4,B25042EST4_PCT,B25042EST5,B25042EST5_PCT,B25042_OWN_3PLUS_BDR,B25042_OWN_3PLUS_BDR_PCT,B25042EST10,B25042EST10_PCT,B25042EST11,B25042EST11_PCT,B25042EST12,B25042EST12_PCT,B25042_RENT_3PLUS_BDR,B25042_RENT_3PLUS_BDR_PCT,B25097EST1,B25097EST2,B25097EST3,B25123_TOT,B25123_TOT_1,B25123_TOT_2,B25123_TOT_3,B25123_TOT_4,B25123EST3,B25123EST3_PCT,B25123EST4,B25123EST4_PCT,B25123EST5,B25123EST5_PCT,B25123EST6,B25123EST6_PCT,B25123EST7,B25123EST7_PCT,B25123EST9,B25123EST9_PCT,B25123EST10,B25123EST10_PCT,B25123EST11,B25123EST11_PCT,B25123EST12,B25123EST12_PCT,B25123EST13,B25123EST13_PCT,Shape__Area,Shape__Length
9081,48439110205,48,439,110205,Census Tract 1102.05,48439,,,2061,1916,92.96,145,7.04,707,36.9,66,9.34,235,33.24,144,20.37,152,21.5,96,13.58,14,1.98,1209,63.1,395,32.67,407,33.66,168,13.9,178,14.72,53,4.38,8,0.66,461,24.06,642,33.51,312,16.28,330,17.22,149,7.78,22,1.15,1992.0,16,0.78,531,25.76,536,26.01,978,47.45,4.5,7.0,3.8,938,45.51,0,0.0,53,2.57,681,33.04,389,18.87,0,0.0,707,707,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1209,128,10.59,0,0.0,53,4.38,681,56.33,347,28.7,0,0.0,123,17.4,584,82.6,0,0.0,0,0.0,260,21.51,870,71.96,79,6.53,0,0.0,79,6.53,383,19.99,1454,75.89,79,4.12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,531,43.92,0,0.0,0,0.0,238,44.82,293,55.18,0,0.0,494,40.86,0,0.0,0,0.0,0,0.0,494,100.0,0,0.0,184,15.22,0,0.0,0,0.0,0,0.0,184,100.0,0,0.0,0,0.0,0,0.0,0,0.0,101,8.35,144,11.91,60,4.96,600,49.63,147,12.16,149,12.32,8,0.66,0,0.0,1125.0,16,2.26,0,0.0,0,0.0,691,97.74,0,0.0,531,43.92,494,40.86,184,15.22,233600.0,234100.0,232900.0,1212,673,31,0,0,115,16.27,0,0.0,0,0.0,0,0.0,592,83.73,558,46.15,31,2.56,0,0.0,0,0.0,620,51.28,3866928.296875,8792.1624689129
9082,48439111315,48,439,111315,Census Tract 1113.15,48439,,,1139,1139,100.0,0,0.0,966,84.81,40,4.14,74,7.66,447,46.27,182,18.84,114,11.8,109,11.28,173,15.19,26,15.03,27,15.61,78,45.09,0,0.0,42,24.28,0,0.0,66,5.79,101,8.87,525,46.09,182,15.98,156,13.7,109,9.57,2006.0,0,0.0,25,2.19,0,0.0,1114,97.81,7.8,7.7,10.0,1139,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,966,966,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,173,173,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,797,82.51,45,4.66,39,4.04,85,8.8,173,100.0,0,0.0,0,0.0,0,0.0,0,0.0,970,85.16,45,3.95,39,3.42,85,7.46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,173,100.0,0,0.0,0,0.0,0,0.0,173,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,53,30.64,120,69.36,0,0.0,2140.0,0,0.0,25,2.59,0,0.0,941,97.41,0,0.0,0,0.0,0,0.0,173,100.0,227800.0,239500.0,185300.0,713,426,0,0,0,303,31.37,0,0.0,0,0.0,0,0.0,663,68.63,123,71.1,0,0.0,0,0.0,0,0.0,50,28.9,3394588.83984375,10028.1013329716
9083,48439113941,48,439,113941,Census Tract 1139.41,48439,,,2457,2264,92.14,193,7.86,1247,55.08,211,16.92,411,32.96,123,9.86,267,21.41,103,8.26,132,10.59,1017,44.92,602,59.19,173,17.01,129,12.68,79,7.77,0,0.0,34,3.34,813,35.91,584,25.8,252,11.13,346,15.28,103,4.55,166,7.33,2003.0,52,2.12,740,30.12,282,11.48,1383,56.29,5.4,7.1,3.6,1349,54.9,34,1.38,0,0.0,500,20.35,574,23.36,0,0.0,1247,1247,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1017,102,10.03,34,3.34,0,0.0,360,35.4,521,51.23,0,0.0,905,72.57,327,26.22,0,0.0,15,1.2,593,58.31,391,38.45,33,3.24,0,0.0,33,3.24,1498,66.17,718,31.71,33,1.46,15,0.66,52,5.11,0,0.0,0,0.0,0,0.0,52,5200.0,0,0.0,600,59.0,0,0.0,0,0.0,169,28.17,431,71.83,0,0.0,229,22.52,0,0.0,0,0.0,0,0.0,229,100.0,0,0.0,136,13.37,0,0.0,0,0.0,0,0.0,136,100.0,0,0.0,0,0.0,0,0.0,0,0.0,32,3.15,33,3.24,251,24.68,586,57.62,80,7.87,35,3.44,0,0.0,0,0.0,1082.0,0,0.0,0,0.0,0,0.0,1247,100.0,52,5.11,600,59.0,229,22.52,136,13.37,223000.0,226100.0,,1615,597,52,0,0,281,22.53,0,0.0,0,0.0,0,0.0,966,77.47,316,31.07,52,5.11,0,0.0,0,0.0,649,63.82,17662891.0820313,21694.6765974403
9084,48439114010,48,439,114010,Census Tract 1140.10,48439,,,2725,2725,100.0,0,0.0,2464,90.42,309,12.54,1129,45.82,323,13.11,286,11.61,236,9.58,181,7.35,261,9.58,30,11.49,46,17.62,158,60.54,27,10.34,0,0.0,0,0.0,339,12.44,1175,43.12,481,17.65,313,11.49,236,8.66,181,6.64,1998.0,0,0.0,34,1.25,127,4.66,2564,94.09,7.2,7.3,5.6,2579,94.64,26,0.95,0,0.0,0,0.0,120,4.4,0,0.0,2464,2438,98.94,26,1.06,0,0.0,0,0.0,0,0.0,0,0.0,261,141,54.02,0,0.0,0,0.0,0,0.0,120,45.98,0,0.0,2380,96.59,26,1.06,0,0.0,58,2.35,103,39.46,158,60.54,0,0.0,0,0.0,0,0.0,2483,91.12,184,6.75,0,0.0,58,2.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34,13.03,0,0.0,0,0.0,34,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,227,86.97,0,0.0,0,0.0,0,0.0,227,100.0,0,0.0,0,0.0,0,0.0,0,0.0,34,13.03,0,0.0,0,0.0,86,32.95,0,0.0,141,54.02,0,0.0,0,0.0,1537.0,0,0.0,0,0.0,127,5.15,2337,94.85,0,0.0,34,13.03,0,0.0,227,86.97,298900.0,272400.0,424100.0,1641,1041,43,0,0,923,37.46,16,0.65,0,0.0,0,0.0,1525,61.89,118,45.21,27,10.34,0,0.0,0,0.0,116,44.44,8321697.53125,14289.1407327092
9085,48439114109,48,439,114109,Census Tract 1141.09,48439,,,3819,3795,99.37,24,0.63,3315,87.35,434,13.09,1236,37.29,598,18.04,834,25.16,82,2.47,131,3.95,480,12.65,22,4.58,110,22.92,94,19.58,63,13.13,191,39.79,0,0.0,456,12.02,1346,35.47,692,18.23,897,23.64,273,7.19,131,3.45,2007.0,81,2.12,0,0.0,0,0.0,3738,97.88,6.8,6.7,7.0,3692,96.67,127,3.33,0,0.0,0,0.0,0,0.0,0,0.0,3315,3188,96.17,127,3.83,0,0.0,0,0.0,0,0.0,0,0.0,480,480,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2941,88.72,177,5.34,197,5.94,0,0.0,480,100.0,0,0.0,0,0.0,0,0.0,0,0.0,3421,90.14,177,4.66,197,5.19,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,480,100.0,0,0.0,0,0.0,0,0.0,480,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,47,9.79,65,13.54,196,40.83,172,35.83,0,0.0,1827.0,81,2.44,0,0.0,0,0.0,3234,97.56,0,0.0,0,0.0,0,0.0,480,100.0,249000.0,254400.0,132600.0,3058,737,0,0,0,737,22.23,0,0.0,0,0.0,0,0.0,2578,77.77,0,0.0,0,0.0,0,0.0,0,0.0,480,100.0,15421172.515625,16875.4850177098
9086,48439122702,48,439,122702,Census Tract 1227.02,48439,,,1565,1285,82.11,280,17.89,529,41.17,161,30.43,262,49.53,60,11.34,36,6.81,10,1.89,0,0.0,756,58.83,256,33.86,327,43.25,118,15.61,55,7.28,0,0.0,0,0.0,417,32.45,589,45.84,178,13.85,91,7.08,10,0.78,0,0.0,1978.0,70,4.47,408,26.07,341,21.79,746,47.67,5.2,6.8,4.0,812,51.88,0,0.0,0,0.0,322,20.58,414,26.45,17,1.09,529,529,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,756,283,37.43,0,0.0,0,0.0,278,36.77,178,23.54,17,2.25,0,0.0,69,13.04,451,85.26,9,1.7,53,7.01,272,35.98,431,57.01,0,0.0,431,57.01,53,4.12,341,26.54,882,68.64,9,0.7,70,9.26,0,0.0,0,0.0,49,70.0,21,2100.0,0,0.0,182,24.07,0,0.0,0,0.0,131,71.98,51,28.02,0,0.0,268,35.45,0,0.0,0,0.0,31,11.57,237,88.43,0,0.0,236,31.22,0,0.0,0,0.0,31,13.14,205,86.86,0,0.0,0,0.0,48,6.35,17,2.25,0,0.0,163,21.56,80,10.58,320,42.33,0,0.0,77,10.19,51,6.75,0,0.0,1055.0,0,0.0,0,0.0,19,3.59,510,96.41,70,9.26,182,24.07,268,35.45,236,31.22,166000.0,201500.0,153600.0,641,644,0,0,0,68,12.85,0,0.0,0,0.0,0,0.0,461,87.15,576,76.19,0,0.0,0,0.0,0,0.0,180,23.81,2090075.81640625,7266.42980067952
9108,48439113004,48,439,113004,Census Tract 1130.04,48439,,,1116,1062,95.16,54,4.84,951,89.55,85,8.94,496,52.16,230,24.19,114,11.99,21,2.21,5,0.53,111,10.45,71,63.96,31,27.93,0,0.0,9,8.11,0,0.0,0,0.0,156,14.69,527,49.62,230,21.66,123,11.58,21,1.98,5,0.47,1983.0,8,0.72,82,7.35,42,3.76,984,88.17,7.3,7.5,3.1,946,84.77,68,6.09,0,0.0,28,2.51,74,6.63,0,0.0,951,892,93.8,59,6.2,0,0.0,0,0.0,0,0.0,0,0.0,111,0,0.0,9,8.11,0,0.0,28,25.23,74,66.67,0,0.0,162,17.03,152,15.98,630,66.25,7,0.74,0,0.0,68,61.26,43,38.74,0,0.0,43,38.74,162,15.25,220,20.72,673,63.37,7,0.66,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,82,73.87,0,0.0,0,0.0,39,47.56,43,52.44,0,0.0,20,18.02,0,0.0,0,0.0,0,0.0,20,100.0,0,0.0,9,8.11,9,100.0,0,0.0,0,0.0,0,0.0,0,0.0,9,8.11,0,0.0,0,0.0,8,7.21,42,37.84,32,28.83,20,18.02,0,0.0,0,0.0,0,0.0,0,0.0,892.0,8,0.84,0,0.0,22,2.31,921,96.85,0,0.0,82,73.87,20,18.02,9,8.11,259100.0,289300.0,254000.0,889,168,5,0,0,141,14.83,5,0.53,0,0.0,0,0.0,805,84.65,27,24.32,0,0.0,0,0.0,0,0.0,84,75.68,3536751.2578125,9998.92540382473
9169,48439111317,48,439,111317,Census Tract 1113.17,48439,,,1739,1486,85.45,253,14.55,1315,88.49,160,12.17,431,32.78,306,23.27,254,19.32,155,11.79,9,0.68,171,11.51,49,28.65,45,26.32,37,21.64,0,0.0,0,0.0,40,23.39,209,14.06,476,32.03,343,23.08,254,17.09,155,10.43,49,3.3,1973.0,0,0.0,32,1.84,146,8.4,1561,89.76,6.5,6.7,4.5,1539,88.5,57,3.28,0,0.0,0,0.0,0,0.0,143,8.22,1315,1213,92.24,25,1.9,0,0.0,0,0.0,0,0.0,77,5.86,171,73,42.69,32,18.71,0,0.0,0,0.0,0,0.0,66,38.6,483,36.73,640,48.67,179,13.61,13,0.99,0,0.0,49,28.65,122,71.35,0,0.0,122,71.35,483,32.5,689,46.37,301,20.26,13,0.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,32,18.71,0,0.0,0,0.0,32,100.0,0,0.0,0,0.0,13,7.6,0,0.0,0,0.0,13,100.0,0,0.0,0,0.0,126,73.68,0,0.0,0,0.0,90,71.43,36,28.57,0,0.0,40,23.39,13,7.6,37,21.64,45,26.32,0,0.0,0,0.0,36,21.05,0,0.0,0,0.0,0,0.0,0,0.0,644.0,0,0.0,0,0.0,57,4.33,1258,95.67,0,0.0,32,18.71,13,7.6,126,73.68,331800.0,350200.0,185600.0,1147,299,40,0,0,218,16.58,0,0.0,0,0.0,0,0.0,1097,83.42,81,47.37,40,23.39,0,0.0,0,0.0,50,29.24,35124005.5585938,39181.3551620563
9170,48439122701,48,439,122701,Census Tract 1227.01,48439,,,824,818,99.27,6,0.73,224,27.38,7,3.13,124,55.36,44,19.64,49,21.88,0,0.0,0,0.0,594,72.62,248,41.75,130,21.89,57,9.6,118,19.87,0,0.0,41,6.9,255,31.17,254,31.05,101,12.35,167,20.42,0,0.0,41,5.01,1975.0,80,9.71,128,15.53,285,34.59,331,40.17,4.2,6.1,3.7,369,44.78,0,0.0,119,14.44,256,31.07,80,9.71,0,0.0,224,224,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,594,145,24.41,0,0.0,119,20.03,250,42.09,80,13.47,0,0.0,0,0.0,40,17.86,184,82.14,0,0.0,0,0.0,206,34.68,344,57.91,44,7.41,388,65.32,0,0.0,246,30.07,528,64.55,44,5.38,80,13.47,0,0.0,10,12.5,70,87.5,0,0.0,0,0.0,122,20.54,0,0.0,0,0.0,101,82.79,21,17.21,0,0.0,247,41.58,0,0.0,0,0.0,97,39.27,150,60.73,0,0.0,145,24.41,0,0.0,0,0.0,0,0.0,93,64.14,52,35.86,62,10.44,90,15.15,67,11.28,49,8.25,14,2.36,51,8.59,156,26.26,48,8.08,5,0.84,0,0.0,52,8.75,821.0,0,0.0,0,0.0,38,16.96,186,83.04,80,13.47,122,20.54,247,41.58,145,24.41,170500.0,164900.0,183300.0,479,306,33,0,0,0,0.0,12,5.36,0,0.0,0,0.0,212,94.64,306,51.52,21,3.54,0,0.0,0,0.0,267,44.95,1582082.46484375,5146.71543561066
9191,48439123302,48,439,123302,Census Tract 1233.02,48439,,,1725,1566,90.78,159,9.22,612,39.08,273,44.61,277,45.26,42,6.86,20,3.27,0,0.0,0,0.0,954,60.92,637,66.77,229,24.0,21,2.2,67,7.02,0,0.0,0,0.0,910,58.11,506,32.31,63,4.02,87,5.56,0,0.0,0,0.0,1981.0,126,7.3,897,52.0,621,36.0,81,4.7,3.7,4.3,3.4,49,2.84,130,7.54,53,3.07,36,2.09,1457,84.46,0,0.0,612,26,4.25,94,15.36,0,0.0,15,2.45,477,77.94,0,0.0,954,23,2.41,36,3.77,53,5.56,21,2.2,821,86.06,0,0.0,317,51.8,66,10.78,86,14.05,143,23.37,197,20.65,302,31.66,185,19.39,270,28.3,455,47.69,514,32.82,368,23.5,271,17.31,413,26.37,97,10.17,0,0.0,0,0.0,14,14.43,83,8300.0,0,0.0,495,51.89,135,27.27,0,0.0,105,21.21,219,44.24,36,7.27,339,35.53,0,0.0,0,0.0,44,12.98,295,87.02,0,0.0,23,2.41,0,0.0,0,0.0,0,0.0,23,100.0,0,0.0,135,14.15,0,0.0,19,1.99,14,1.47,32,3.35,189,19.81,193,20.23,100,10.48,134,14.05,102,10.69,36,3.77,1091.0,29,4.74,243,39.71,282,46.08,58,9.48,97,10.17,495,51.89,339,35.53,23,2.41,286300.0,270400.0,377100.0,1133,433,0,0,0,187,30.56,0,0.0,0,0.0,0,0.0,425,69.44,246,25.79,0,0.0,0,0.0,0,0.0,708,74.21,2797980.6171875,7536.6248543099
9192,48439111020,48,439,111020,Census Tract 1110.20,48439,,,2222,2130,95.86,92,4.14,560,26.29,83,14.82,195,34.82,123,21.96,51,9.11,86,15.36,22,3.93,1570,73.71,622,39.62,300,19.11,231,14.71,188,11.97,188,11.97,41,2.61,705,33.1,495,23.24,354,16.62,239,11.22,274,12.86,63,2.96,1997.0,0,0.0,92,4.14,792,35.64,1338,60.22,4.9,5.8,4.7,1213,54.59,196,8.82,94,4.23,183,8.24,536,24.12,0,0.0,560,560,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1570,653,41.59,196,12.48,94,5.99,183,11.66,444,28.28,0,0.0,202,36.07,316,56.43,42,7.5,0,0.0,625,39.81,771,49.11,156,9.94,18,1.15,174,11.08,827,38.83,1087,51.03,198,9.3,18,0.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,92,5.86,0,0.0,0,0.0,80,86.96,12,13.04,0,0.0,665,42.36,104,15.64,16,2.41,264,39.7,281,42.26,0,0.0,813,51.78,0,0.0,0,0.0,80,9.84,687,84.5,46,5.66,153,9.75,0,0.0,93,5.92,90,5.73,468,29.81,124,7.9,74,4.71,474,30.19,48,3.06,0,0.0,46,2.93,891.0,0,0.0,0,0.0,35,6.25,525,93.75,0,0.0,92,5.86,665,42.36,813,51.78,138600.0,142900.0,109200.0,982,1123,25,0,0,63,11.25,0,0.0,0,0.0,0,0.0,497,88.75,1060,67.52,25,1.59,0,0.0,0,0.0,485,30.89,2038285.05078125,5894.31318431101
9216,48439121704,48,439,121704,Census Tract 1217.04,48439,,,1155,1044,90.39,111,9.61,355,34.0,77,21.69,113,31.83,68,19.15,40,11.27,9,2.54,48,13.52,689,66.0,220,31.93,130,18.87,84,12.19,115,16.69,66,9.58,74,10.74,297,28.45,243,23.28,152,14.56,155,14.85,75,7.18,122,11.69,1973.0,33,2.86,139,12.03,534,46.23,449,38.87,4.4,5.5,4.0,596,51.6,85,7.36,197,17.06,157,13.59,120,10.39,0,0.0,355,355,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,689,157,22.79,85,12.34,197,28.59,130,18.87,120,17.42,0,0.0,18,5.07,51,14.37,266,74.93,20,5.63,0,0.0,162,23.51,512,74.31,15,2.18,527,76.49,18,1.72,213,20.4,778,74.52,35,3.35,33,4.79,0,0.0,0,0.0,33,100.0,0,0.0,0,0.0,132,19.16,8,6.06,0,0.0,124,93.94,0,0.0,0,0.0,437,63.43,0,0.0,32,7.32,272,62.24,133,30.43,0,0.0,87,12.63,0,0.0,0,0.0,27,31.03,45,51.72,15,17.24,47,6.82,38,5.52,188,27.29,197,28.59,104,15.09,36,5.22,38,5.52,26,3.77,0,0.0,0,0.0,15,2.18,730.0,0,0.0,7,1.97,55,15.49,293,82.54,33,4.79,132,19.16,437,63.43,87,12.63,109100.0,113000.0,96100.0,462,498,84,0,0,45,12.68,47,13.24,0,0.0,0,0.0,263,74.08,453,65.75,37,5.37,0,0.0,0,0.0,199,28.88,3021135.046875,8365.56484364619
9222,48439103602,48,439,103602,Census Tract 1036.02,48439,,,974,885,90.86,89,9.14,594,67.12,167,28.11,218,36.7,112,18.86,60,10.1,0,0.0,37,6.23,291,32.88,51,17.53,71,24.4,45,15.46,60,20.62,28,9.62,36,12.37,218,24.63,289,32.66,157,17.74,120,13.56,28,3.16,73,8.25,1958.0,0,0.0,22,2.26,384,39.43,568,58.32,5.5,5.5,5.5,938,96.3,23,2.36,0,0.0,13,1.33,0,0.0,0,0.0,594,587,98.82,7,1.18,0,0.0,0,0.0,0,0.0,0,0.0,291,262,90.03,16,5.5,0,0.0,13,4.47,0,0.0,0,0.0,0,0.0,17,2.86,551,92.76,26,4.38,0,0.0,47,16.15,202,69.42,42,14.43,244,83.85,0,0.0,64,7.23,753,85.08,68,7.68,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,22,7.56,0,0.0,0,0.0,22,100.0,0,0.0,0,0.0,67,23.02,0,0.0,5,7.46,35,52.24,20,29.85,7,10.45,202,69.42,0,0.0,0,0.0,43,21.29,121,59.9,38,18.81,10,3.44,48,16.49,41,14.09,61,20.96,34,11.68,0,0.0,36,12.37,6,2.06,10,3.44,0,0.0,45,15.46,722.0,0,0.0,0,0.0,250,42.09,344,57.91,0,0.0,22,7.56,67,23.02,202,69.42,78900.0,100000.0,77700.0,559,289,37,0,0,109,18.35,37,6.23,0,0.0,0,0.0,448,75.42,180,61.86,0,0.0,0,0.0,0,0.0,111,38.14,2041489.17578125,5725.30330718082
9240,48439111555,48,439,111555,Census Tract 1115.55,48439,,,1530,1461,95.49,69,4.51,1282,87.75,143,11.15,310,24.18,358,27.93,264,20.59,159,12.4,48,3.74,179,12.25,48,26.82,84,46.93,7,3.91,0,0.0,40,22.35,0,0.0,191,13.07,394,26.97,365,24.98,264,18.07,199,13.62,48,3.29,1999.0,29,1.9,19,1.24,71,4.64,1411,92.22,6.5,6.8,5.6,1395,91.18,13,0.85,0,0.0,83,5.42,39,2.55,0,0.0,1282,1269,98.99,13,1.01,0,0.0,0,0.0,0,0.0,0,0.0,179,96,53.63,0,0.0,0,0.0,83,46.37,0,0.0,0,0.0,601,46.88,615,47.97,66,5.15,0,0.0,83,46.37,96,53.63,0,0.0,0,0.0,0,0.0,684,46.82,711,48.67,66,4.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,10.61,0,0.0,0,0.0,0,0.0,19,100.0,0,0.0,19,10.61,0,0.0,0,0.0,19,100.0,0,0.0,0,0.0,141,78.77,0,0.0,0,0.0,0,0.0,141,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,38,21.23,52,29.05,0,0.0,0,0.0,89,49.72,0,0.0,0,0.0,,29,2.26,0,0.0,13,1.01,1240,96.72,0,0.0,19,10.61,19,10.61,141,78.77,236900.0,244900.0,187500.0,1158,290,13,0,0,150,11.7,13,1.01,0,0.0,0,0.0,1119,87.29,140,78.21,0,0.0,0,0.0,0,0.0,39,21.79,3698229.9140625,11018.9869976546
